Company Na,Address,City,State,ZIP Code,Record Typ,Longitude,Latitude,Primary NA,Primary__1,Snap
Wolcott General Store,171 Wolcott Sq,Hyde Park,MA,2136,,-71.13264,42.237322,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Lakomka,183 Chestnut Hill Ave,Brighton,MA,2135,,-71.154705,42.341405,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Our Neighborhood Variety,185 Howard Ave,Dorchester,MA,2125,,-71.075473,42.313978,,Convenience Stores,Yes
Hannaford Supermarket,39 Church St,Boston,MA,2116,,-71.06802,42.349383,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Roy's Cold Cuts,198 Marion St,Boston,MA,2128,,-71.034673,42.375525,,Meat Markets,Yes
Hannaford Supermarket,39 Church St,Boston,MA,2116,,-71.06802,42.349383,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Plaza Meat Market,207 Boylston St,Jamaica Plain,MA,2130,,-71.10116,42.313928,,Convenience Stores,Yes
Family Market,334 E 8th St,Boston,MA,2127,,-71.047679,42.331288,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Caribbean Market,558 Washington St,Dorchester Ctr,MA,2124,,-71.071689,42.292094,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Caribbean Market,217 Bowdoin St,Dorchester,MA,2122,,-71.067734,42.305587,,Convenience Stores,Yes
Quick Mart,353 Chelsea St,Boston,MA,2128,,-71.028734,42.378276,,Convenience Stores,Yes
Convenience Plus,789 Harrison Ave,Boston,MA,2118,,-71.070838,42.340851,,Convenience Stores,Yes
Bowdoin Market,144 Bowdoin St,Dorchester,MA,2122,,-71.070899,42.303792,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Faneuil Street Market,243 Faneuil St,Brighton,MA,2135,,-71.160305,42.352705,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Tienda Y Taqueria Guadalajara,257 Princeton St,East Boston,MA,2128,,-71.030009,42.379571,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Llanera Supermarket,260 E 8th St,South Boston,MA,2127,,-71.049803,42.332085,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Symphony Market II,291 Huntington Ave,Boston,MA,2115,,-71.086449,42.341663,,Convenience Stores,Yes
Evelyn's Market,298 Centre St,Jamaica Plain,MA,2130,,-71.102673,42.322871,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Melos Grocery,331 Centre St,Jamaica Plain,MA,2130,,-71.104997,42.322868,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Family Market,334 E 8th St,Boston,MA,2127,,-71.047679,42.331288,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
El Condor Market,337 Paris St,East Boston,MA,2128,,-71.031584,42.37753,,Convenience Stores,Yes
Quick Stop,338 Warren St,Roxbury,MA,2119,,-71.081237,42.319186,,Convenience Stores,Yes
Sumner Market Inc,345 Sumner St,Boston,MA,2128,,-71.035499,42.366838,,Convenience Stores,Yes
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,,-71.075795,42.341362,,Convenience Stores,Yes
Family Market,334 E 8th St,Boston,MA,2127,,-71.047679,42.331288,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
