company_na,address,city,state,zip_code,cartodb_id,longitude,latitude,type,snap,type_size,Underwater_36in,Underwater_7.5ft
Chung Wah Hong Co,55 Beach St,Boston,MA,2111,805,-71.060584,42.351339,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Hannaford Supermarket,39 Church St,Boston,MA,2116,554,-71.06802,42.349383,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Store 24,281 Huntington Ave # B,Boston,MA,2115,114,-71.086462,42.341988,Convenience Stores,Yes,2,,1
Hannaford Supermarket,39 Church St,Boston,MA,2116,555,-71.06802,42.349383,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Clear Edge Foods Inc,88 Worcester St,Boston,MA,2118,639,-71.078435,42.339551,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Bull Market Press Corp,9 W Broadway # 415,Boston,MA,2127,197,-71.057941,42.34238,Convenience Stores,No,2,,1
Two Guys Foods Inc,434 Massachusetts Ave,Boston,MA,2118,825,-71.081798,42.340745,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Martinez Seafood Inc,212 Northern Ave,Boston,MA,2210,382,-71.038265,42.350476,Fish & Seafood Markets,No,4,,1
Atlantic To Hudson Inc,18 Hudson St,Boston,MA,2111,767,-71.059956,42.350508,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
7-Eleven,103 State St,Boston,MA,2109,93,-71.055102,42.358962,Convenience Stores,Yes,2,,1
Greater Boston Food Bank,70 S Bay Ave, Boston,MA,2118,389,-71.06633,42.33409,Food Bank,NA,10,,1
Chanh Hung Seafood Market,659 Washington St,Boston,MA,2111,604,-71.063212,42.351834,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Goose Valley Natural Foods LLC,399 Boylston St # 3-300,Boston,MA,2116,717,-71.072255,42.351772,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Goon Shee Assoc Inc,10 Oxford Pl,Boston,MA,2111,710,-71.060771,42.351713,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
1-A Carniceria Y Legumbreria,9 Meridian St,East Boston,MA,2128,434,-71.038779,42.370491,Meat Markets,No,6,,1
Bull Market Deli,Liberty Sq,Boston,MA,2109,155,-71.055237,42.359135,Convenience Stores,No,2,,1
Five Seventy Market,570 Tremont St,Boston,MA,2118,765,-71.072323,42.343534,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Alhoda Market,114 Blackstone St,Boston,MA,2109,449,-71.055237,42.359135,Meat Markets,No,6,,1
Beni's Restaurant,145 Meridian St,Boston,MA,2128,676,-71.039004,42.373813,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Target,1341 Boylston St,Boston,MA,2215,341,-71.09966,42.34438,Department Stores (Except Discount Dept Stores),No,7,,1
Seafood USA Coast,15 Broad St # 415,Boston,MA,2109,349,-71.054799,42.358721,Fish & Seafood Markets,No,4,,1
Tedeschi Food Shops,1 1st Ave # 7,Charlestown,MA,2129,309,-71.057819,42.372909,Convenience Stores,No,2,,1
West Seventh Mini Market,51 W 7th St,Boston,MA,2127,168,-71.055401,42.337052,Convenience Stores,No,2,,1
Lowe's Pay N Save,10 Causeway St,Boston,MA,2222,940,-71.063096,42.365165,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Hannaford Supermarket,39 Church St,Boston,MA,2116,545,-71.06802,42.349383,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
18 Seafood Market,18 Hudson St,Boston,MA,2111,379,-71.059956,42.350508,Fish & Seafood Markets,No,4,,1
Boston Variety,59 Causeway St,Boston,MA,2114,185,-71.062893,42.3644,Convenience Stores,No,2,,1
Colleen Bawn Fine Foods,1 Faneuil Hall Sq,Boston,MA,2109,709,-71.055744,42.360041,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
New Meat Market,94 Blackstone St,Boston,MA,2109,438,-71.056184,42.361487,Meat Markets,No,6,,1
Medina's Market Inc,611 Tremont St,Boston,MA,2118,137,-71.0741,42.342887,Convenience Stores,No,2,,1
Gourmet Products,35 Wareham St,Boston,MA,2118,26,-71.068101,42.339373,All Other Specialty Food Stores,No,1,,1
Phillips Seafood,100 Terminal A,East Boston,MA,2128,359,-71.032043,42.369093,Fish & Seafood Markets,No,4,,1
Cherry Mart,349 Newbury St # B,Boston,MA,2115,628,-71.087255,42.348554,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Grove Natural Foods,20 Logan Airport,East Boston,MA,2128,330,-71.032514,42.377292,Convenience Stores,No,2,,1
CVS/Pharmacy,587 Boylston St,Boston,MA,2116,486,-71.076993,42.350536,Pharmacies & Drug Stores,No,3,,1
Kosmos Market,683 Tremont St # 2,Boston,MA,2118,836,-71.076623,42.341556,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
7-Eleven,200 Seaport Blvd # 3,Boston,MA,2210,101,-71.040336,42.351773,Convenience Stores,Yes,2,,1
Jen's Place,10 Park Plz,Boston,MA,2116,180,-71.069461,42.351028,Convenience Stores,No,2,,1
Hannaford Supermarket,39 Church St,Boston,MA,2116,531,-71.06802,42.349383,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Grove Natural Foods,300 Terminal C # 20,East Boston,MA,2128,329,-71.017474,42.366988,Convenience Stores,No,2,,1
Symphony Market II,291 Huntington Ave,Boston,MA,2115,62,-71.086449,42.341663,Convenience Stores,Yes,2,,1
Ming Yu Seafood,10 Tyler St,Boston,MA,2111,871,-71.060463,42.350978,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Meat & Fish Market,118 Blackstone St # B,Boston,MA,2109,437,-71.055237,42.359135,Meat Markets,No,6,,1
Store 24,717 Boylston St,Boston,MA,2116,122,-71.080095,42.349651,Convenience Stores,Yes,2,,1
7-Eleven,70 E India Row,Boston,MA,2110,95,-71.050516,42.358582,Convenience Stores,Yes,2,,1
Roxbury Wholesale Grocery Inc,25 Chesterton St,Roxbury,MA,2119,852,-71.071245,42.329885,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Sousa Lobster Co Inc,16 Fish Pier,Boston,MA,2210,356,-71.039264,42.349559,Fish & Seafood Markets,No,4,,1
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,119,-71.075795,42.341362,Convenience Stores,Yes,2,,1
Carmella's Market,86 Cottage St,Boston,MA,2128,700,-71.035296,42.367892,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
East Bay Seafood,8 Seafood Way # 1b,Boston,MA,2210,362,-71.031157,42.349045,Fish & Seafood Markets,No,4,,1
South End Open Market,500 540 & 450 Harrison Ave,Boston,MA,2118,699,-71.070838,42.340851,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
7-Eleven,204 N Harvard St,Allston,MA,2134,94,-71.129789,42.362799,Convenience Stores,Yes,2,,1
Acougue Sabor Brazil,233 London St,East Boston,MA,2128,821,-71.035775,42.37589,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Gourmet Exchange,70 Newmarket Sq,Boston,MA,2118,28,-71.066936,42.328799,All Other Specialty Food Stores,No,1,,1
City Convenience,86 Massachusetts Ave,Boston,MA,2115,48,-71.088118,42.348733,Convenience Stores,Yes,2,,1
7-Eleven,261 Dartmouth St,Boston,MA,2116,99,-71.077631,42.350294,Convenience Stores,Yes,2,,1
Deluca's Market,11 Charles St # 1,Boston,MA,2114,599,-71.06957,42.356506,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Triple Seven Convenience,269 Main St,Charlestown,MA,2129,175,-71.066603,42.377209,Convenience Stores,No,2,,1
Brothers Mini Market,802 Tremont St,Boston,MA,2118,577,-71.081337,42.338492,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Plaza Fish Market II,777 William T Morrissey Blvd,Dorchester,MA,2122,455,-71.048527,42.294926,Meat Markets,No,6,,1
CVS/Pharmacy,1249 Boylston St # 1,Boston,MA,2215,496,-71.095775,42.345432,Pharmacies & Drug Stores,No,3,,1
Tedeschi Food Shops,281 Huntington Ave,Boston,MA,2115,318,-71.086462,42.341988,Convenience Stores,No,2,,1
Thompson Market,44 Brooks St,Boston,MA,2128,881,-71.032676,42.376055,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
