Company Na,Address,City,State,ZIP Code,Longitude,Latitude,Type,Snap,Type_size,Underwater_36in,Underwater_7.5ft
City Mini Mart,226 Washington St,Boston,MA,2108,-71.057843,42.358158,Convenience Stores,Yes,2,,
Our Neighborhood Variety,185 Howard Ave,Dorchester,MA,2125,-71.075473,42.313978,Convenience Stores,Yes,2,,
Plaza Meat Market,207 Boylston St,Jamaica Plain,MA,2130,-71.10116,42.313928,Convenience Stores,Yes,2,,
Caribbean Market,217 Bowdoin St,Dorchester,MA,2122,-71.067734,42.305587,Convenience Stores,Yes,2,,
Quick Mart,353 Chelsea St,Boston,MA,2128,-71.028734,42.378276,Convenience Stores,Yes,2,,
Convenience Plus,789 Harrison Ave,Boston,MA,2118,-71.070838,42.340851,Convenience Stores,Yes,2,,
Symphony Market II,291 Huntington Ave,Boston,MA,2115,-71.086449,42.341663,Convenience Stores,Yes,2,,
El Condor Market,337 Paris St,East Boston,MA,2128,-71.031584,42.37753,Convenience Stores,Yes,2,,
Quick Stop,338 Warren St,Roxbury,MA,2119,-71.081237,42.319186,Convenience Stores,Yes,2,,
Sumner Market Inc,345 Sumner St,Boston,MA,2128,-71.035499,42.366838,Convenience Stores,Yes,2,,
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,-71.075795,42.341362,Convenience Stores,Yes,2,,
Adams Market,365 Adams St,Dorchester,MA,2122,-71.05666,42.29699,Convenience Stores,Yes,2,,
Vange Variety,434 Blue Hill Ave,Dorchester,MA,2121,-71.082048,42.309905,Convenience Stores,Yes,2,,
Quick Mart,353 Chelsea St,Boston,MA,2128,-71.028734,42.378276,Convenience Stores,Yes,2,,
KOOL Stop Convenience,487 Washington St,Dorchester Ctr,MA,2124,-71.072048,42.294632,Convenience Stores,Yes,2,,
Luis Market,517 Warren St,Dorchester,MA,2121,-71.08372,42.313587,Convenience Stores,Yes,2,,
7-Eleven,1 1st Ave,Charlestown,MA,2129,-71.057819,42.372909,Convenience Stores,Yes,2,,
7-Eleven,1710 Centre St,West Roxbury,MA,2132,-71.148914,42.286986,Convenience Stores,Yes,2,,
7-Eleven,1436 Centre St # 38,Roslindale,MA,2131,-71.137177,42.293354,Convenience Stores,Yes,2,,
7-Eleven,451 Centre St,Jamaica Plain,MA,2130,-71.111467,42.32034,Convenience Stores,Yes,2,,
7-Eleven,730 William T Morrissey Blvd,Dorchester,MA,2122,-71.047776,42.296438,Convenience Stores,Yes,2,,
7-Eleven,584 Washington St,Brighton,MA,2135,-71.165671,42.350019,Convenience Stores,Yes,2,,
7-Eleven,2002 Beacon St,Brighton,MA,2135,-71.150916,42.336383,Convenience Stores,Yes,2,,
7-Eleven,91 Causeway St # 99,Boston,MA,2114,-71.062052,42.364834,Convenience Stores,Yes,2,,
7-Eleven,872 Commonwealth Ave,Boston,MA,2215,-71.114346,42.3508,Convenience Stores,Yes,2,,
7-Eleven,722 Huntington Ave,Boston,MA,2115,-71.104339,42.334138,Convenience Stores,Yes,2,,
7-Eleven,673 E Broadway # 1,Boston,MA,2127,-71.037501,42.335447,Convenience Stores,Yes,2,,
7-Eleven,508 Park Dr,Boston,MA,2215,-71.105811,42.34764,Convenience Stores,Yes,2,,
7-Eleven,50 Summer St,Boston,MA,2110,-71.059025,42.354672,Convenience Stores,Yes,2,,
7-Eleven,473 W Broadway,Boston,MA,2127,-71.046079,42.335531,Convenience Stores,Yes,2,,
7-Eleven,464 Hanover St # 17,Boston,MA,2113,-71.052728,42.367042,Convenience Stores,Yes,2,,
7-Eleven,342 Hanover St,Boston,MA,2113,-71.053561,42.364947,Convenience Stores,Yes,2,,
7-Eleven,250 Cambridge St # 3,Boston,MA,2114,-71.067475,42.360888,Convenience Stores,Yes,2,,
7-Eleven,1747 Washington St,Boston,MA,2118,-71.077008,42.336782,Convenience Stores,Yes,2,,
7-Eleven,1306 Washington St,Boston,MA,2118,-71.070838,42.340851,Convenience Stores,Yes,2,,
7-Eleven,125 Tremont St,Boston,MA,2108,-71.061733,42.356403,Convenience Stores,Yes,2,,
