Company Na,Address,City,State,ZIP Code,Longitude,Latitude,Type,Snap,Type_size,Underwater_36in,Underwater_7.5ft
Roxbury Mobil,85 Southampton St,Boston,MA,2118,-71.070384,42.331916,Convenience Stores,No,2,,
Saratoga Convenience,655 Saratoga St,Boston,MA,2128,-71.020796,42.382249,Convenience Stores,No,2,,
Alex Market III,2825 Washington St,Roxbury,MA,2119,-71.092735,42.321289,Convenience Stores,No,2,,
S Street Convenience,138 South St,Jamaica Plain,MA,2130,-71.114582,42.305296,Convenience Stores,No,2,,
Boston Shawarma,226 Washington St,Boston,MA,2108,-71.057843,42.358158,Convenience Stores,No,2,,
Dudley Variety,389 Dudley St,Roxbury,MA,2119,-71.075493,42.326182,Convenience Stores,No,2,,
Neighborhood Variety,63 Poplar St,Roslindale,MA,2131,-71.128908,42.285481,Convenience Stores,No,2,,
Market Maywood,249 Blue Hill Ave,Roxbury,MA,2119,-71.078308,42.315759,Convenience Stores,No,2,,
El Chavo Mexican Products,4254 Washington St,Roslindale,MA,2131,-71.129007,42.285549,Convenience Stores,No,2,,
Blue Hill Convenient Mkt Inc,322 Blue Hill Ave,Dorchester,MA,2121,-71.07939,42.313276,Convenience Stores,No,2,,
Community Convenience Store,44 Norfolk St,Dorchester,MA,2124,-71.07317,42.289037,Convenience Stores,No,2,,
Sullivan's Store,2 Cambridge St,Charlestown,MA,2129,-71.062477,42.377869,Convenience Stores,No,2,,
Green Elm,536 Centre St,Jamaica Plain,MA,2130,-71.113272,42.316859,Convenience Stores,No,2,,
Step N Out Mart,609 Walk Hill St,Mattapan,MA,2126,-71.097852,42.280932,Convenience Stores,No,2,,
Newtowne Foodmart,87 Medford St,Charlestown,MA,2129,-71.055535,42.379147,Convenience Stores,No,2,,
Select Market,529 Washington St,Brighton,MA,2135,-71.162883,42.349164,Convenience Stores,No,2,,
Speedway,1779 Centre St,West Roxbury,MA,2132,-71.151597,42.287826,Convenience Stores,No,2,,
Speedway,5315 Washington St,West Roxbury,MA,2132,-71.161371,42.258673,Convenience Stores,No,2,,
Speedway,710 Gallivan Blvd,Dorchester,MA,2124,-71.048056,42.283857,Convenience Stores,No,2,,
Speedway,123 Cambridge St,Charlestown,MA,2129,-71.080614,42.382482,Convenience Stores,No,2,,
Speedway,874 Dorchester Ave,Boston,MA,2125,-71.056553,42.321182,Convenience Stores,No,2,,
Speedway,151 Old Colony Ave,Boston,MA,2127,-71.05545,42.334534,Convenience Stores,No,2,,
Speedway,219 Cambridge St,Allston,MA,2134,-71.126225,42.358478,Convenience Stores,No,2,,
Speedway,100 Brighton Ave,Allston,MA,2134,-71.129841,42.35248,Convenience Stores,No,2,,
Shop MFI Market,170 Salem St # 4,Boston,MA,2113,-71.054967,42.366231,Convenience Stores,No,2,,
Serve You Well Mini Mart,259 Talbot Ave,Dorchester Ctr,MA,2124,-71.075822,42.291111,Convenience Stores,No,2,,
Boston Mobile,651 Warren St,Dorchester,MA,2121,-71.083018,42.309755,Convenience Stores,No,2,,
Blue Hill Convenience,1378 Blue Hill Ave,Mattapan,MA,2126,-71.092178,42.271726,Convenience Stores,No,2,,
Blue Hill Convenience,137 Blue Hill Ave # B,Roxbury,MA,2119,-71.078079,42.320263,Convenience Stores,No,2,,
Venice Convenient Inc,38 Cooper St,Boston,MA,2113,-71.057125,42.364388,Convenience Stores,No,2,,
LA Esperanza Market,238 Meridian St,Boston,MA,2128,-71.039175,42.375813,Convenience Stores,No,2,,
Monica's Mercato,130 Salem St # 1,Boston,MA,2113,-71.055592,42.365094,Convenience Stores,No,2,,
Store 24 Inc,363 Tremont St,Boston,MA,2116,-71.067988,42.348049,Convenience Stores,No,2,,
Mr Convenience Plus,646 Blue Hill Ave,Dorchester,MA,2121,-71.085417,42.302159,Convenience Stores,No,2,,
J Trip Karaoke Lounge,189 State St,Boston,MA,2109,-71.05271,42.359144,Convenience Stores,No,2,,
Beacon Hill Convenience Store,55 Anderson St,Boston,MA,2114,-71.067773,42.359319,Convenience Stores,No,2,,
Cumberland Farms,148 Chestnut Hill Ave,Brighton,MA,2135,-71.153812,42.342044,Convenience Stores,No,2,,
Cumberland Farms,628 E 5th St,Boston,MA,2127,-71.0355,42.334164,Convenience Stores,No,2,,
Cumberland Farms,801 Massachusetts Ave,Boston,MA,2118,-71.073002,42.333104,Convenience Stores,No,2,,
E S Variety,3 Gladstone St,East Boston,MA,2128,-70.999524,42.389113,Convenience Stores,No,2,,
Patriot News Inc,655 Atlantic Ave,Boston,MA,2111,-71.061176,42.35179,Convenience Stores,No,2,,
Roho Convenience Market All,479 Blue Hill Ave,Dorchester,MA,2121,-71.08323,42.308637,Convenience Stores,No,2,,
Small Change,525 Columbia Rd,Dorchester,MA,2125,-71.066527,42.315414,Convenience Stores,No,2,,
Cruz Market,237 Bowdoin St,Dorchester,MA,2122,-71.067226,42.305987,Convenience Stores,No,2,,
Cappy's Store,90 Westland Ave,Boston,MA,2115,-71.089765,42.343882,Convenience Stores,No,2,,
Berkeley Street Market,56 Berkeley St,Boston,MA,2116,-71.070933,42.346399,Convenience Stores,No,2,,
24 Seven Convenience Store,655 Warren St,Dorchester,MA,2121,-71.082883,42.309813,Convenience Stores,No,2,,
Express Depot,360b Columbus Ave,Boston,MA,2116,-71.074581,42.350812,Convenience Stores,No,2,,
24 Seven,655 Warren St,Dorchester,MA,2121,-71.082883,42.309813,Convenience Stores,No,2,,
Andrew Square Convenience,390 Dorchester St # A,Boston,MA,2127,-71.056393,42.329751,Convenience Stores,No,2,,
Rosa Grocery,710 Washington St,Dorchester Ctr,MA,2124,-71.070898,42.286662,Convenience Stores,No,2,,
Fenway Convenience,76 Kilmarnock St,Boston,MA,2215,-71.099234,42.342507,Convenience Stores,No,2,,
Tedeschi Food Shops,177 State St # A,Boston,MA,2109,-71.053394,42.35937,Convenience Stores,No,2,,
Tedeschi Food Shops,7 Spring St,West Roxbury,MA,2132,-71.160701,42.278429,Convenience Stores,No,2,,
Tedeschi Food Shops,4196 Washington St,Roslindale,MA,2131,-71.127162,42.28709,Convenience Stores,No,2,,
Tedeschi Food Shops,684 Centre St,Jamaica Plain,MA,2130,-71.114206,42.312015,Convenience Stores,No,2,,
Tedeschi Food Shops,1187 Hyde Park Ave,Hyde Park,MA,2136,-71.123719,42.258632,Convenience Stores,No,2,,
Tedeschi Food Shops,1886 Dorchester Ave,Dorchester Ctr,MA,2124,-71.064025,42.28653,Convenience Stores,No,2,,
Tedeschi Food Shops,320 Neponset Ave,Dorchester,MA,2122,-71.046896,42.288235,Convenience Stores,No,2,,
Tedeschi Food Shops,1420 Dorchester Ave,Dorchester,MA,2122,-71.059355,42.30247,Convenience Stores,No,2,,
Tedeschi Food Shops,241 Market St,Brighton,MA,2135,-71.150124,42.354604,Convenience Stores,No,2,,
Tedeschi Food Shops,717 Boylston St,Boston,MA,2116,-71.080095,42.349651,Convenience Stores,No,2,,
Tedeschi Food Shops,555 E Broadway,Boston,MA,2127,-71.04196,42.33534,Convenience Stores,No,2,,
Tedeschi Food Shops,405 W Broadway,Boston,MA,2127,-71.048061,42.336953,Convenience Stores,No,2,,
Tedeschi Food Shops,14 Maverick Sq,Boston,MA,2128,-71.039531,42.369407,Convenience Stores,No,2,,
Tedeschi Food Shops,509 Cambridge St,Allston,MA,2134,-71.138482,42.353432,Convenience Stores,No,2,,
Tedeschi Food Shops,157 Brighton Ave,Allston,MA,2134,-71.132445,42.353142,Convenience Stores,No,2,,
Tedeschi Food Shops,1219 Commonwealth Ave,Allston,MA,2134,-71.130686,42.350698,Convenience Stores,No,2,,
Tedeschi Food Shops,695 Truman Hwy,Hyde Park,MA,2136,-71.118958,42.252457,Convenience Stores,No,2,,
Tedeschi Food Shops,187 E Cottage St,Dorchester,MA,2125,-71.06121,42.319908,Convenience Stores,No,2,,
Tedeschi Food Shops,1580 Dorchester Ave,Dorchester,MA,2122,-71.06116,42.296644,Convenience Stores,No,2,,
Tedeschi Food Shops,140 Main St,Charlestown,MA,2129,-71.064278,42.374882,Convenience Stores,No,2,,
Tedeschi Food Shops,1 1st Ave # 7,Charlestown,MA,2129,-71.057819,42.372909,Convenience Stores,No,2,,
Tedeschi Food Shops,566 Dorchester Ave,Boston,MA,2127,-71.056746,42.330301,Convenience Stores,No,2,,
Tedeschi Food Shops,50 Staniford St,Boston,MA,2114,-71.063972,42.36204,Convenience Stores,No,2,,
Tedeschi Food Shops,141 Massachusetts Ave,Boston,MA,2115,-71.087722,42.346805,Convenience Stores,No,2,,
Tedeschi Food Shops,122 Cambridge St,Boston,MA,2114,-71.063715,42.361099,Convenience Stores,No,2,,
Tedeschi Food Shops,779 Centre St,Jamaica Plain,MA,2130,-71.115601,42.309787,Convenience Stores,No,2,,
Tedeschi Food Shops,1239 River St,Hyde Park,MA,2136,-71.123089,42.256114,Convenience Stores,No,2,,
Tedeschi Food Shops,2235 Dorchester Ave,Dorchester Ctr,MA,2124,-71.067706,42.273837,Convenience Stores,No,2,,
Tedeschi Food Shops,542 Commonwealth Ave,Boston,MA,2215,-71.096368,42.348735,Convenience Stores,No,2,,
Tedeschi Food Shops,281 Huntington Ave,Boston,MA,2115,-71.086462,42.341988,Convenience Stores,No,2,,
Tedeschi Food Shops,126 Cambridge St,Boston,MA,2114,-71.065706,42.361233,Convenience Stores,No,2,,
"Petite, Caille",597 Washington St,Dorchester Ctr,MA,2124,-71.071691,42.290532,Convenience Stores,No,2,,
Iraola Convenience Store,1112 Blue Hill Ave,Dorchester Ctr,MA,2124,-71.090385,42.286285,Convenience Stores,No,2,,
Botanica Anaiza,610 Centre St,Jamaica Plain,MA,2130,-71.114039,42.314381,Convenience Stores,No,2,,
Tobacco Treasurers,200 Seaport Blvd,Boston,MA,2210,-71.040336,42.351773,Convenience Stores,No,2,,
Van Mini Market,109 Franklin St,Allston,MA,2134,-71.132964,42.359776,Convenience Stores,No,2,,
Gomez Convenience Store,285 Washington St,Dorchester,MA,2121,-71.075574,42.300378,Convenience Stores,No,2,,
Constellation Convenience Str,1304 Commonwealth Ave,Allston,MA,2134,-71.134007,42.348573,Convenience Stores,No,2,,
D & R Supermarkets,180 Hyde Park Ave,Jamaica Plain,MA,2130,-71.116732,42.29474,Convenience Stores,No,2,,
Savin Hill Convenience Inc,110 Savin Hill Ave,Dorchester,MA,2125,-71.053754,42.311685,Convenience Stores,No,2,,
Grove Natural Foods,300 Terminal C # 20,East Boston,MA,2128,-71.017474,42.366988,Convenience Stores,No,2,,
Grove Natural Foods,20 Logan Airport,East Boston,MA,2128,-71.032514,42.377292,Convenience Stores,No,2,,
Towne Convenience,40 Boylston St,Boston,MA,2116,-71.063861,42.352158,Convenience Stores,No,2,,
7-Eleven Inc,66 Charles St,Boston,MA,2114,-71.07045,42.357576,Convenience Stores,No,2,,
Noora Convenience,530 River St,Mattapan,MA,2126,-71.094493,42.267136,Convenience Stores,No,2,,
Snack N' Play,19 Staniford St,Boston,MA,2114,-71.063744,42.362201,Convenience Stores,No,2,,
Neponset Convenience Store,165 Neponset Ave,Dorchester,MA,2122,-71.050906,42.293033,Convenience Stores,No,2,,
Esi Inc Of Tennessee,175 Federal St # 11,Boston,MA,2110,-71.056361,42.353678,Convenience Stores,No,2,,
Snack Shack Etc,180 Hyde Park Ave,Jamaica Plain,MA,2130,-71.116732,42.29474,Convenience Stores,No,2,,
Neptune Launderette,944 Bennington St,Boston,MA,2128,-71.009636,42.386146,Convenience Stores,No,2,,
Food Mart & Smoke Shop,142 Park St,Dorchester,MA,2122,-71.060873,42.298505,Convenience Stores,No,2,,
Salcedos Market,302 Norfolk St,Dorchester Ctr,MA,2124,-71.08301,42.283408,Convenience Stores,No,2,,
Target,1341 Boylston St,Boston,MA,2215,-71.09966,42.34438,Department Stores (Except Discount Dept Stores),No,7,,
Target,7 Allstate Rd,Dorchester,MA,2125,-71.063015,42.328387,Department Stores (Except Discount Dept Stores),No,7,,
Pisces Fish Market,690 American Legion Hwy # 6,Roslindale,MA,2131,-71.112033,42.283334,Fish & Seafood Markets,Yes,4,,
Blue Hill Market,1600 Blue Hill Ave # A,Mattapan,MA,2126,-71.093606,42.268993,Fish & Seafood Markets,Yes,4,,
Blue Hill Market,1600 Blue Hill Ave # A,Mattapan,MA,2126,-71.093606,42.268993,Fish & Seafood Markets,Yes,4,,
Adams Fish Market,783 Adams St,Dorchester Ctr,MA,2124,-71.055901,42.283353,Fish & Seafood Markets,No,4,,
Staemis Seafood,7 Channel St,Boston,MA,2210,-71.037095,42.345024,Fish & Seafood Markets,No,4,,
Larry's Fish Market,26 Porter St,East Boston,MA,2128,-71.037864,42.374607,Fish & Seafood Markets,No,4,,
Seafood USA Coast,15 Broad St # 415,Boston,MA,2109,-71.054799,42.358721,Fish & Seafood Markets,No,4,,
Boston Lobsters,65 N Harvard St,Boston,MA,2163,-71.1248,42.367265,Fish & Seafood Markets,No,4,,
Boston Fish Market,1484 Dorchester Ave,Dorchester,MA,2122,-71.060177,42.299997,Fish & Seafood Markets,No,4,,
East Boston Oysters,9 Fish Pier St E,Boston,MA,2210,-71.039276,42.349369,Fish & Seafood Markets,No,4,,
Stavis Seafood,660 Summer St,Boston,MA,2210,-71.037939,42.345524,Fish & Seafood Markets,No,4,,
Stavis Seafood,37 Fish Pier,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
Roslindale Fish Market,39 Poplar St,Roslindale,MA,2131,-71.129032,42.286066,Fish & Seafood Markets,No,4,,
Sousa Lobster Co Inc,16 Fish Pier,Boston,MA,2210,-71.039264,42.349559,Fish & Seafood Markets,No,4,,
Red's Best,13 Fish Pier,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
North Coast Seafood,270 W 2nd St,South Boston,MA,2127,-71.043154,42.335475,Fish & Seafood Markets,No,4,,
Phillips Seafood,100 Terminal A,East Boston,MA,2128,-71.032043,42.369093,Fish & Seafood Markets,No,4,,
Mc Kenzie Seafood,234 W Selden St,Mattapan,MA,2126,-71.08927,42.273436,Fish & Seafood Markets,No,4,,
Sunny's Seafood Inc,Bay One Boston Fish Pier,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
East Bay Seafood,8 Seafood Way # 1b,Boston,MA,2210,-71.031157,42.349045,Fish & Seafood Markets,No,4,,
Simons Seafood & Deli,2169 Washington St,Roxbury,MA,2119,-71.082409,42.331405,Fish & Seafood Markets,No,4,,
Huntington Seafood,764 Huntington Ave,Boston,MA,2115,-71.105974,42.333328,Fish & Seafood Markets,No,4,,
Boston Seafood,8 Fid Kennedy Ave,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
Ocean Fresh Inc,2001 Beacon St # 107,Brighton,MA,2135,-71.150068,42.335848,Fish & Seafood Markets,No,4,,
African American Seafood Corp,78 Moreland St,Roxbury,MA,2119,-71.07841,42.323831,Fish & Seafood Markets,No,4,,
Skipjack's Seafood E,Clarendon & Saint James,Boston,MA,2116,-71.074581,42.350812,Fish & Seafood Markets,No,4,,
N E Seafood Connection Inc,19 Howard St # 25,Roxbury,MA,2119,-71.074046,42.327633,Fish & Seafood Markets,No,4,,
Polar Seafood Corp,145 Northern Ave # 3,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
Legeal Sea Foods,35 Columbus Ave,Boston,MA,2116,-71.074581,42.350812,Fish & Seafood Markets,No,4,,
Seafood Specialties,25 Fish Pier,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
Star Fish Market,3089 Washington St,Roxbury,MA,2119,-71.099072,42.315487,Fish & Seafood Markets,No,4,,
Twin Dragon Seafood Inc,10a Tyler St,Boston,MA,2111,-71.060463,42.350978,Fish & Seafood Markets,No,4,,
Reds Best,136 Blackstone St,Boston,MA,2109,-71.057495,42.36216,Fish & Seafood Markets,No,4,,
Blue Waves Fish Market,1238 River St,Hyde Park,MA,2136,-71.123208,42.255876,Fish & Seafood Markets,No,4,,
Brighton Fish Co,215 Parsons St,Brighton,MA,2135,-71.157056,42.356654,Fish & Seafood Markets,No,4,,
International Lobster & Maguro,22 Food Mart Rd,Boston,MA,2118,-71.062863,42.337367,Fish & Seafood Markets,No,4,,
18 Seafood Market,18 Hudson St,Boston,MA,2111,-71.059956,42.350508,Fish & Seafood Markets,No,4,,
Cape Cod Shellfish & Seafood,29 Fish Pier St W # 31,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
Eternal Star Seafood Inc,649 Harrison Ave # 138,Boston,MA,2118,-71.069583,42.339458,Fish & Seafood Markets,No,4,,
Martinez Seafood Inc,212 Northern Ave,Boston,MA,2210,-71.038265,42.350476,Fish & Seafood Markets,No,4,,
Bramante Seafood,2 Fish Pier St W,Boston,MA,2210,-71.03962,42.349171,Fish & Seafood Markets,No,4,,
Bochu Fish Market,202 Humboldt Ave,Dorchester,MA,2121,-71.089657,42.312684,Fish & Seafood Markets,No,4,,
Great Eastern Seafood Inc,44 Newmarket Sq,Boston,MA,2118,-71.065768,42.328582,Fish & Seafood Markets,No,4,,
Golden Banks Seafood Inc,1 Fish Pier Rd,Boston,MA,2210,-71.044476,42.349242,Fish & Seafood Markets,No,4,,
James Hook & Co,15 Northern Ave,Boston,MA,2210,-71.046009,42.352939,Fish & Seafood Markets,No,4,,
James Hook & Co,440 Atlantic Ave,Boston,MA,2110,-71.054279,42.356372,Fish & Seafood Markets,No,4,,
Greater Boston Food Bank,70 S Bay Ave, Boston,MA,2118,-71.06633,42.33409,Food Bank,NA,10,,
New England Produce Center,300 Beacham St ,chelsea,MA,2150,-71.05125,42.39721,Food Distributor,NA,12,,
Baby Nat's Fruitland,606 American Legion Hwy,Roslindale,MA,2131,-71.109597,42.285741,Fruit & Vegetable Markets,Yes,5,,
Lambert's Rainbow Fruit,777 William T Morrissey Blvd,Dorchester,MA,2122,-71.048527,42.294926,Fruit & Vegetable Markets,Yes,5,,
National Produce Solutions Inc,280 Lincoln St,Allston,MA,2134,-71.134073,42.357328,Fruit & Vegetable Markets,No,5,,
C&D Produce,260 Maverick St,Boston,MA,2128,-71.033773,42.368066,Fruit & Vegetable Markets,No,5,,
Moxie's Juice Co,135 W 8th St,Boston,MA,2127,-71.053647,42.334819,Fruit & Vegetable Markets,No,5,,
We Juice Inc,49 Beach St # 62,Boston,MA,2111,-71.060799,42.351356,Fruit & Vegetable Markets,No,5,,
Blessing Of God African Market,1076 Hyde Park Ave,Hyde Park,MA,2136,-71.121612,42.262527,Fruit & Vegetable Markets,No,5,,
Snap Top Market,303 Columbus Ave,Boston,MA,2116,-71.07437,42.346653,Fruit & Vegetable Markets,No,5,,
Mass Produce,32 White St,Boston,MA,2128,-71.03853,42.380676,Fruit & Vegetable Markets,No,5,,
Office Fruit,36 S Huntington Ave # 9,Jamaica Plain,MA,2130,-71.111634,42.331076,Fruit & Vegetable Markets,No,5,,
Family Produce Market Corp,51 Cottage St,Boston,MA,2128,-71.035677,42.367108,Fruit & Vegetable Markets,No,5,,
Local Roots,402 Hanover St,Boston,MA,2113,-71.052893,42.36594,Fruit & Vegetable Markets,No,5,,
Back Bay Market,145 Dartmouth St # 2,Boston,MA,2116,-71.074841,42.347378,Fruit & Vegetable Markets,No,5,,
E T C Juicery,1 Lathrop Pl # 1,Boston,MA,2113,-71.053981,42.36392,Fruit & Vegetable Markets,No,5,,
Boylston Fruit Market,34 Egleston St,Jamaica Plain,MA,2130,-71.100927,42.314,Fruit & Vegetable Markets,No,5,,
One Twenty Five,960r Massachusetts Ave,Boston,MA,2118,-71.070838,42.340851,Fruit & Vegetable Markets,No,5,,
Thirst Juice Co,44 School St,Boston,MA,2108,-71.059748,42.357735,Fruit & Vegetable Markets,No,5,,
Hua Shing Inc,123 Newmarket Sq,Boston,MA,2118,-71.066883,42.33052,Fruit & Vegetable Markets,No,5,,
Sid Wainer & Son,15 May St,Jamaica Plain,MA,2130,-71.122739,42.309675,Fruit & Vegetable Markets,No,5,,
Good Seasons Trading Inc,911 Massachusetts Ave,Boston,MA,2118,-71.070309,42.330506,Fruit & Vegetable Markets,No,5,,
Alba Produce,18 Parmenter St,Boston,MA,2113,-71.05508,42.363816,Fruit & Vegetable Markets,No,5,,
Xin Bao Vegetable Co,198 Tremont St # 407,Boston,MA,2116,-71.064567,42.35214,Fruit & Vegetable Markets,No,5,,
City Fruit Co,231 Harrison Ave # A,Boston,MA,2111,-71.063016,42.347472,Fruit & Vegetable Markets,No,5,,
Ramirez Produce,252 Princeton St # 1,Boston,MA,2128,-71.030616,42.379698,Fruit & Vegetable Markets,No,5,,
Kirin Produce Co,131 Newmarket Sq,Boston,MA,2118,-71.066883,42.33052,Fruit & Vegetable Markets,No,5,,
Kirin Produce Co,22 Oxford St # 24,Boston,MA,2111,-71.06031,42.35179,Fruit & Vegetable Markets,No,5,,
Cropcircle Inc,15 Robinwood Ave,Jamaica Plain,MA,2130,-71.112763,42.316537,Fruit & Vegetable Markets,No,5,,
D Fantasy,3142 Washington St,Jamaica Plain,MA,2130,-71.100017,42.313973,Fruit & Vegetable Markets,No,5,,
Plum Produce,552 Tremont St,Boston,MA,2118,-71.071455,42.343758,Fruit & Vegetable Markets,No,5,,
Ching Long Inc,26 Lincoln St,Brighton,MA,2135,-71.14613,42.358847,Fruit & Vegetable Markets,No,5,,
Juice Republic Inc,200 Lincoln St # 404,Boston,MA,2111,-71.058495,42.350241,Fruit & Vegetable Markets,No,5,,
J & C Tropical Produce Inc,284 Centre St # 2,Jamaica Plain,MA,2130,-71.102044,42.322769,Fruit & Vegetable Markets,No,5,,
Faneuil Hall Market Place,1 Faneuil Hall Sq # 1,Boston,MA,2109,-71.055744,42.360041,Fruit & Vegetable Markets,No,5,,
Jevojuice Inc,230 Congress St,Boston,MA,2110,-71.054134,42.354565,Fruit & Vegetable Markets,No,5,,
Allston Farmers' Market,175 N Harvard St,Allston,MA,2134,-71.12959,42.363374,Fruit & Vegetable Markets,No,5,,
Lafauci & Sons Inc,46 Cross St # 50,Boston,MA,2113,-71.056477,42.363275,Fruit & Vegetable Markets,No,5,,
Roy's Cold Cuts,198 Marion St,Boston,MA,2128,-71.034673,42.375525,Meat Markets,Yes,6,,
Cheema's Supermarket,562 Cambridge St,Allston,MA,2134,-71.14042,42.352263,Meat Markets,Yes,6,,
Son's Fish Market & Restaurant,1132 Blue Hill Ave,Dorchester Ctr,MA,2124,-71.090668,42.285433,Meat Markets,No,6,,
Chop Chop Meat Market,1260 Hyde Park Ave,Hyde Park,MA,2136,-71.123978,42.255513,Meat Markets,No,6,,
Di Paolo & Rossi Meat Market,56 Salem St,Boston,MA,2113,-71.056201,42.363193,Meat Markets,No,6,,
Red's Best,212 Northern Ave,Boston,MA,2210,-71.038265,42.350476,Meat Markets,No,6,,
Jeha's Meat Market,243 Grove St,West Roxbury,MA,2132,-71.157149,42.261394,Meat Markets,No,6,,
1-A Carniceria Y Legumbreria,9 Meridian St,East Boston,MA,2128,-71.038779,42.370491,Meat Markets,No,6,,
Wings Enterprises Inc,48 Beach St,Boston,MA,2111,-71.060794,42.35155,Meat Markets,No,6,,
El Paissa Butchershop,1010 Bennington St,Boston,MA,2128,-71.006619,42.386951,Meat Markets,No,6,,
Meat & Fish Market,118 Blackstone St # B,Boston,MA,2109,-71.055237,42.359135,Meat Markets,No,6,,
New Meat Market,94 Blackstone St,Boston,MA,2109,-71.056184,42.361487,Meat Markets,No,6,,
Butcher Shop Market Inc,782 Adams St,Dorchester Ctr,MA,2124,-71.055655,42.283421,Meat Markets,No,6,,
Lambert Beef Co,49 Food Mart Rd,Boston,MA,2118,-71.070838,42.340851,Meat Markets,No,6,,
Gonza Meat Market,996 Blue Hill Ave,Dorchester Ctr,MA,2124,-71.089416,42.289917,Meat Markets,No,6,,
Beacon Kosher Meat Market,36 Monastery Rd,Brighton,MA,2135,-71.147088,42.344802,Meat Markets,No,6,,
New Boston Meat,81 Newmarket Sq,Boston,MA,2118,-71.066826,42.329182,Meat Markets,No,6,,
Youngs Trading Inc,1 Widett Cir,Roxbury,MA,2118,-71.062728,42.334448,Meat Markets,No,6,,
C & A Beef Co,165 Terrace St,Roxbury Crossing,MA,2120,-71.094875,42.334948,Meat Markets,No,6,,
Legal Sea Foods,100 Huntington Ave # 77,Boston,MA,2116,-71.077828,42.347042,Meat Markets,No,6,,
Lio Meat Corp,920 Cummins Hwy,Mattapan,MA,2126,-71.092178,42.271726,Meat Markets,No,6,,
Boston & Maine Fish Co,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,Meat Markets,No,6,,
Alhoda Market,114 Blackstone St,Boston,MA,2109,-71.055237,42.359135,Meat Markets,No,6,,
London Veal,124 Newmarket Sq,Roxbury,MA,2118,-71.066883,42.33052,Meat Markets,No,6,,
Hajar Market,116 Blackstone St,Boston,MA,2109,-71.055237,42.359135,Meat Markets,No,6,,
Butcher's Block Inc,243 Faneuil St,Brighton,MA,2135,-71.160305,42.352705,Meat Markets,No,6,,
Casablanca Meat Market,116 Blackstone St,Boston,MA,2109,-71.055237,42.359135,Meat Markets,No,6,,
Francisco Arcadio,205 Boylston St,Jamaica Plain,MA,2130,-71.101393,42.313907,Meat Markets,No,6,,
Plaza Fish Market II,777 William T Morrissey Blvd,Dorchester,MA,2122,-71.048527,42.294926,Meat Markets,No,6,,
Clinton Market,702 American Legion Hwy,Roslindale,MA,2131,-71.113309,42.283392,Meat Markets,No,6,,
Diallo's Halal Meat & Grocery,11 Erie St,Dorchester,MA,2121,-71.078975,42.303073,Meat Markets,No,6,,
Brooks Pharmacy,4600 Washington St,Roslindale,MA,2131,-71.138935,42.275453,Pharmacies & Drug Stores,No,3,,
Brooks Pharmacy,399 Market St,Brighton,MA,2135,-71.151951,42.347801,Pharmacies & Drug Stores,No,3,,
Brooks Pharmacy,11 Pearl St,Boston,MA,2110,-71.054279,42.356372,Pharmacies & Drug Stores,No,3,,
Brooks Pharmacy,181 Brighton Ave,Allston,MA,2134,-71.133679,42.353911,Pharmacies & Drug Stores,No,3,,
Cvs Corp,25 Holyoke St # 5,Boston,MA,2116,-71.077989,42.345026,Pharmacies & Drug Stores,No,3,,
Cvs Pharmacy,7 Allstate Rd,Dorchester,MA,2125,-71.063293,42.329333,Pharmacies & Drug Stores,No,3,,
Cvs Pharmacy,1575 Blue Hill Ave,Mattapan,MA,2126,-71.094008,42.269992,Pharmacies & Drug Stores,No,3,,
CVS Pharmacy,4600 Washington St,Roslindale,MA,2131,-71.138935,42.275453,Pharmacies & Drug Stores,No,3,,
CVS Pharmacy,518 Commonwealth Ave,Boston,MA,2215,-71.095938,42.348505,Pharmacies & Drug Stores,No,3,,
CVS Pharmacy,263 Washington St,Boston,MA,2108,-71.058093,42.357792,Pharmacies & Drug Stores,No,3,,
CVS Pharmacy,151 Tremont St # 1,Boston,MA,2111,-71.063698,42.354515,Pharmacies & Drug Stores,No,3,,
CVS,151 Tremont St # 1,Boston,MA,2111,-71.063698,42.354515,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,1921 Centre St,West Roxbury,MA,2132,-71.157097,42.284497,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,942 Hyde Park Ave,Hyde Park,MA,2136,-71.119804,42.267608,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,210 Border St,East Boston,MA,2128,-71.040644,42.375446,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,1150 Saratoga St,East Boston,MA,2128,-70.999137,42.384513,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,703 Gallivan Blvd,Dorchester Ctr,MA,2124,-71.047599,42.283316,Pharmacies & Drug Stores,No,3,,
CVS/Pharmacy,778 Dudley St,Dorchester,MA,2125,-71.065558,42.317477,Pharmacies & Drug Stores,No,3,,
