STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
STORE 24 7,4,COLLEGE AVENUE,4 COLLEGE AVENUE,SOMERVILLE,MA,2144,MIDDLESEX,CS,Yes
SHAW'S SUPERMARKET 7604/586,4,RIVER ST,4 RIVER ST,DORCHESTER,MA,2124,SUFFOLK,SS,Yes
888 ASIAN GROCERY,4,PINE ST,4 PINE ST,LOWELL,MA,1851,MIDDLESEX,MG,Yes
"RICHDALE, ARTIES CORNER",4,MAIN ST,4 MAIN ST,NORTH ANDOVER,MA,1845,ESSEX,CS,Yes
WALGREENS 07704,5,PIERCE ST,5 PIERCE ST,GREENFIELD,MA,1301,FRANKLIN,CO,Yes
T&P CONVENIENCE  & ASIAN FOOD MAR,5,SUMMER ST,5 SUMMER ST,LUNENBURG,MA,1462,WORCESTER,SG,Yes
WALGREENS 09660,5,HAMDEN ST,5 HAMDEN ST,READING,MA,1867,MIDDLESEX,CO,Yes
LOUIS MARKET,5,ADAMS,5 ADAMS,SAGAMORE,MA,2561,BARNSTABLE,SG,Yes
"COUNTRY CORNER CITGO IN.C,",5,SPRINGFIELD STREET,5 SPRINGFIELD STREET,THREE RIVERS,MA,1080,HAMPDEN,CS,Yes
Pocket Saver Market,5,West Main St,5 West Main St,Erving,MA,1344,FRANKLIN,SG,Yes
WHITE HEN PANTRY #1-9901-1,5,MAIN STREET RT 28,5 MAIN STREET RT 28,WEST HARWICH,MA,2671,BARNSTABLE,CS,Yes
SOUCY'S MARKET,5,FRONT STREET,5 FRONT STREET,SHIRLEY,MA,1464,MIDDLESEX,CS,Yes
TEDESCHI FOOD SHOP 40,5,WALTHAM STREET,5 WALTHAM STREET,MAYNARD,MA,1754,MIDDLESEX,CS,Yes
HANNAFORD SUPERMARKET 11,5,GILBERT ST,5 GILBERT ST,N BROOKFIELD,MA,1535,WORCESTER,SS,Yes
BROOKS PHARMACY 736,5,MEDWAY RD,5 MEDWAY RD,MILFORD,MA,1757,NORFOLK,CO,Yes
AGAWAM MOBIL 458,6,LEALAND AVE,6 LEALAND AVE,AGAWAM,MA,1001,HAMPDEN,CS,Yes
"COMMON CROW NATURAL HEALTH, INC.",6,ELM ST,6 ELM ST,GLOUCESTER,MA,1930,ESSEX,CS,Yes
LITTLE KITCHEN,6,FRONT ST,6 FRONT ST,WORCESTER,MA,1608,WORCESTER,CS,Yes
GETTY MART,6,MAPLE ST,6 MAPLE ST,WALTHAM,MA,2453,MIDDLESEX,CS,Yes
Cedar Street Variety,6,Cedar St,6 Cedar St,Taunton,MA,2780,BRISTOL,CS,Yes
Martinez Market,6,Kilmar Ave,6 Kilmar Ave,Taunton,MA,2301,PLYMOUTH,SG,Yes
PRIDE CONVENIENCE INC 0000000000,6,NORTH WESTFIELD ST,6 NORTH WESTFIELD ST,AGAWAM,MA,1001,HAMPDEN,CS,Yes
PAILIN ASIAN SUPERMARKET,6,BRANCH ST,6 BRANCH ST,LOWELL,MA,1851,MIDDLESEX,LG,Yes
VERMETTE'S INC,6,POND ST,6 POND ST,AMESBURY,MA,1913,ESSEX,LG,Yes
NEW BEDFORD SALCHICHARIA INC,6,ROCKDALE AVE,6 ROCKDALE AVE,NEW BEDFORD,MA,2740,BRISTOL,MG,Yes
