STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
SUNRISE CONVENIENCE,80,WEST ST,80 WEST ST,WORCESTER,MA,1609,WORCESTER,SG,Yes
RAJ MINI MARKET,80,WAVERLY ST,80 WAVERLY ST,FRAMINGHAM,MA,1702,MIDDLESEX,CS,Yes
Tesoro Supermarket,80,Hollis St,80 Hollis St,Framingham,MA,1702,MIDDLESEX,CS,Yes
BROOKS #394 PHARMACY 394,80,EAST MAIN STREET,80 EAST MAIN STREET,WEBSTER,MA,1570,WORCESTER,CO,Yes
BIG Y STORE #13,80,WILLIAMS ST,80 WILLIAMS ST,LONGMEADOW,MA,1106,HAMPDEN,SS,Yes
CVS PHARMACY 281,80,MARKET STREET,80 MARKET STREET,ROCKLAND,MA,2370,PLYMOUTH,CO,Yes
TJ CONVENIENCE STORE,80,WELLES AV,80 WELLES AV,DORCHESTER,MA,2124,SUFFOLK,SG,Yes
GENE'S VARIETY,80,WATER ST,80 WATER ST,MILFORD,MA,1757,WORCESTER,CS,Yes
CUMBERLAND FARMS 144,80,COUNTY & WALL ST,80 COUNTY & WALL ST,ATTLEBORO,MA,2703,BRISTOL,CS,Yes
INDIA FOODS SPICES STORE,80,RIVER STREET,80 RIVER STREET,CAMBRIDGE,MA,2139,MIDDLESEX,CS,Yes
ARCHIES MINI MART,81,NORTHBRIDGE ST,81 NORTHBRIDGE ST,HOLYOKE,MA,1040,HAMPDEN,MG,Yes
Stop-N-Gas,81,Warren Ave,81 Warren Ave,Brockton,MA,2301,SUFFOLK,CS,Yes
PAYLESS FOOD STORE,81,READ ST,81 READ ST,LOWELL,MA,1850,MIDDLESEX,CS,Yes
WATROBAS MARKETS INC,81,SUNDERLAND RD,81 SUNDERLAND RD,NORTH AMHERST,MA,1059,HAMPSHIRE,MG,Yes
S & S MART,82,FRANKLIN ST,82 FRANKLIN ST,WESTFIELD,MA,1085,HAMPDEN,CS,Yes
HILLSIDE MARKET,82,HILLSIDE ST,82 HILLSIDE ST,ROXBURY,MA,2120,SUFFOLK,CS,Yes
SHAW'S SUPERMARKET 7444/195,82,WORCESTER RD,82 WORCESTER RD,WEBSTER,MA,1570,WORCESTER,SS,Yes
HONEY FARM 81,82,THOMAS STREET,82 THOMAS STREET,WORCESTER,MA,1608,WORCESTER,MG,Yes
NICHOLS STREET MARKET,82,NICHOLS ST,82 NICHOLS ST,EVERETT,MA,2149,MIDDLESEX,CS,Yes
EZEE MART,83,RIVER ST,83 RIVER ST,WEST SPRINGFIEL,MA,1089,HAMPDEN,CS,Yes
LINCOLN AVENUE MARKET,84,LINCOLN AVE,84 LINCOLN AVE,SAUGUS,MA,1906,ESSEX,CS,Yes
BROOKS PHARMACY 210,85,HUTTLESON AVE,85 HUTTLESON AVE,FAIRHAVEN,MA,2719,BRISTOL,CO,Yes
Rosa Market & Restaurant,85,Cummins Hwy,85 Cummins Hwy,Roslindale,MA,2131,SUFFOLK,CS,Yes
CVS PHARMACY 1010,85,HIGH STREET,85 HIGH STREET,MEDFORD,MA,2155,MIDDLESEX,CO,Yes
"EXITO SUPERMARKET, INC.",85,SHIRLEY ST,85 SHIRLEY ST,REVERE,MA,2151,SUFFOLK,SG,Yes
A-1 MARKET,85,EAST MAIN ST,85 EAST MAIN ST,AVON,MA,2322,NORFOLK,CS,Yes
GLENVILLE MARKET,85,GLENVILLE AV,85 GLENVILLE AV,ALLSTON,MA,2134,SUFFOLK,SG,Yes
TARGET STORE 1965,86,ORCHARD HILL PARK DR,86 ORCHARD HILL PARK DR,LOEMINSTER,MA,1453,WORCESTER,SS,Yes
WALGREENS 07220,86,CHELMSFORD ST,86 CHELMSFORD ST,CHELMSFORD,MA,1824,MIDDLESEX,CO,Yes
GLORIA FOOD STORE,86,COTTAGE,86 COTTAGE,EAST BOSTON,MA,2128,SUFFOLK,SG,Yes
PEARL STREET MARKET,87,PEARL STREET,87 PEARL STREET,CAMBRIDGE,MA,2139,MIDDLESEX,SG,Yes
NEWTOWNE FOOD MART,87,MEDFORD STREET,87 MEDFORD STREET,CHARLSTOWN,MA,2129,SUFFOLK,CS,Yes
CUMBERLAND FARMS 2292,87,E GROVE ST RT 28,87 E GROVE ST RT 28,MIDDLEBORO,MA,2346,PLYMOUTH,CS,Yes
3 J Market,88,Auburn St,88 Auburn St,Lawrence,MA,1841,ESSEX,CS,Yes
THE STORE,88,PROVIDENCE STREET,88 PROVIDENCE STREET,WORCESTER,MA,1604,WORCESTER,CS,Yes
ALTAMIRA MARKET,88,BROADWAY STREET,88 BROADWAY STREET,LAWRENCE,MA,1841,ESSEX,SG,Yes
PRICE CHOPPER 07,88,WESTPARK ST/BOX 400,88 WESTPARK ST/BOX 400,LEE,MA,1238,BERKSHIRE,SM,Yes
CARNICERIA MARKET,88,JACKSON STREET,88 JACKSON STREET,LAWRENCE,MA,1841,ESSEX,MG,Yes
UNION VARIETY,88,UNION ST,88 UNION ST,LYNN,MA,1902,ESSEX,MG,Yes
STOP & SHOP 045,89,FRENCH KING HIGHWAY,89 FRENCH KING HIGHWAY,GREENFIELD,MA,1301,FRANKLIN,SM,Yes
MASON MARKET LLC,89,WILBRAHAM RD,89 WILBRAHAM RD,SPRINGFIELD,MA,1109,HAMPDEN,MG,Yes
ESSEX STREET MARKET,90,ESSEX STREET,90 ESSEX STREET,CHELSEA,MA,2150,SUFFOLK,SG,Yes
C & J SUPRETTE,90,GLENWAY STREET,90 GLENWAY STREET,DORCHESTER,MA,2121,SUFFOLK,SG,Yes
SUPER STOP & SHOP 38,90,NEW CAPE HWY,90 NEW CAPE HWY,RAYHAM,MA,2767,BRISTOL,SM,Yes
SUPER STOP & SHOP 496,90,PLEASANT VALLEY STREET,90 PLEASANT VALLEY STREET,METHUEN,MA,1844,ESSEX,SM,Yes
CVS PHARMACY 1893,90,MAIN STREET,90 MAIN STREET,NORTHAMPTON,MA,1060,HAMPSHIRE,CO,Yes
BROOKS PHARMACY 552,90,RIVER ST,90 RIVER ST,MATTAPAN,MA,2126,SUFFOLK,CO,Yes
Market Basket,90,WATER ST,90 WATER ST,FITCHBURG,MA,1420,WORCESTER,SS,Yes
CONVENIENCE PLUS #1,90,TYLER STREET,90 TYLER STREET,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
"LUIZ GROCERY LIQUOR INC.,",90,DIVISION STREET,90 DIVISION STREET,FALL RIVER,MA,2721,BRISTOL,CS,Yes
DOLLAR TREE 3234,91,CARVER RD,91 CARVER RD,PLYMOUTH,MA,2360,PLYMOUTH,CO,Yes
7-ELEVEN 15767C,92,MARKET ST,92 MARKET ST,ROCKLAND,MA,2370,PLYMOUTH,CS,Yes
7-ELEVEN #15451E,92,BROAD ST,92 BROAD ST,MARLBOROUGH,MA,1752,MIDDLESEX,CS,Yes
GROVERS VARIETY,93,BURRELL ST,93 BURRELL ST,ROXBURY,MA,2119,SUFFOLK,SG,Yes
STORE 24 317,93,LAFAYETTE ST,93 LAFAYETTE ST,HAVERHILL,MA,1830,ESSEX,CS,Yes
Gilbert Market,93,N Main St,93 N Main St,Webster,MA,1570,WORCESTER,CS,Yes
STOP & GO MARKET,93,CHESTNUT STREET,93 CHESTNUT STREET,SPRINGFIELD,MA,1103,HAMPDEN,CS,Yes
NEWTOWNE VARIETY,93,WINDSOR STREET,93 WINDSOR STREET,CAMBRIDGE,MA,2139,MIDDLESEX,CS,Yes
JAKE'S VARIETY STORE,93,WEST HOUSATONIC STREET,93 WEST HOUSATONIC STREET,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
STAR FOOD MART,94,PLAIN ST,93.5 PLAIN ST,TAUNTON,MA,2780,BRISTOL,CS,Yes
BODEGA LA FAMILIA,94,DANIELS ST,94 DANIELS ST,FITCHBURG,MA,1420,WORCESTER,SG,Yes
SAM'S MARKET,94,BRIDGE ST,94 BRIDGE ST,SALEM,MA,1970,ESSEX,CS,Yes
BIRDS STORE,94,MAPLE ST,94 MAPLE ST,FLORENCE,MA,1062,HAMPSHIRE,CS,Yes
NEW COUNTRY GARDENS MARKET,94,NORTH MAIN STREET,94 NORTH MAIN STREET,BROCKTON,MA,2301,PLYMOUTH,MG,Yes
VARIETY STORE,94,MEADOW STREET,94 MEADOW STREET,WESTFIELD,MA,1085,HAMPDEN,SG,Yes
WHOLE FOODS MARKET 10159,94,DERBY ST,94 DERBY ST,HINGHAM,MA,2043,PLYMOUTH,SS,Yes
White Hen Pantry 1-0603-2,95,Main Street,95 Main Street,Webster,MA,1570,WORCESTER,CS,Yes
BD Mart,95,Montello St,95 Montello St,Brockton,MA,2301,PLYMOUTH,CS,Yes
SHAW'S SUPERMARKET 7428/162,95,WASHINGTON ST,95 WASHINGTON ST,CANTON,MA,2021,NORFOLK,SS,Yes
CORNER'S DELIGHT,95,HIGH STREET,95 HIGH STREET,HOLYOKE,MA,1040,HAMPDEN,CS,Yes
THE BARN,95,RIVER STREET,95 RIVER STREET,GREENFIELD,MA,1301,FRANKLIN,LG,Yes
CONGRESS STREET MARKET,95,CONGRESS ST,95 CONGRESS ST,SALEM,MA,1970,ESSEX,CS,Yes
CVS PHARMACY #321 0321,95,WASHINGTON ST,95 WASHINGTON ST,CANTON,MA,2021,NORFOLK,CO,Yes
GARDEN HALAL MEAT MARKET LLC,96,BLACKSTONE ST,96 BLACKSTONE ST,BOSTON,MA,2109,SUFFOLK,MG,Yes
HIGHLAND VARIETY,96,ADAMS ST,96 ADAMS ST,LYNN,MA,1902,ESSEX,CS,Yes
RAMADAN FOOD STORE LLC,96,HIGHLAND AV,96 HIGHLAND AV,SOMERVILLE,MA,2143,MIDDLESEX,CS,Yes
La Sonrisa Mini Market,97,Ward Street,97 Ward Street,Worcester,MA,1610,WORCESTER,CS,Yes
MERCADO VICTORIA,97,17TH ST,97 17TH ST,FALL RIVER,MA,2723,BRISTOL,SG,Yes
STOP & SHOP 68,97,MAIN STREET ROUTE 28,97 MAIN STREET ROUTE 28,NORTH READING,MA,1864,MIDDLESEX,SM,Yes
7-ELEVEN 22397C,97,UNION STREET,97 UNION STREET,EASTHAMPTON,MA,1027,HAMPSHIRE,CS,Yes
HONEY FARMS 20,98,MILLBURY STREET,98 MILLBURY STREET,WORCESTER,MA,1607,WORCESTER,MG,Yes
LOS PRIMOS GROCERY & DELI,98,FT PLEASANT AVE,98 FT PLEASANT AVE,SPRINGFIELD,MA,1108,HAMPDEN,CS,Yes
BROOKS PHARMACY 639,98,PROSPECT ST,98 PROSPECT ST,MILFORD,MA,1757,WORCESTER,CO,Yes
ESSEX MARKET,99,ESSEX ST,99 ESSEX ST,LYNN,MA,1902,ESSEX,CS,Yes
7-ELEVEN 33454B,99,HAMPSHIRE ST,99 HAMPSHIRE ST,LAWRENCE,MA,1840,ESSEX,CS,Yes
C & S Mart Convenience Store,99,South Wipple St,99 South Wipple St,Lowell,MA,1852,MIDDLESEX,CS,Yes
D&M Variety,99,Commercial St,99 Commercial St,Lynn,MA,1905,ESSEX,MG,Yes
WALGREENS 10639,99,STAFFORD ST,99 STAFFORD ST,WORCESTER,MA,1603,WORCESTER,CO,Yes
WALGREENS 02889,99,GRANGER BLVD,99 GRANGER BLVD,MARLBORO,MA,1752,MIDDLESEX,CO,Yes
SMART PLAZA,99,WEST MAIN STREET BOX 278,99 WEST MAIN STREET BOX 278,DUDLEY,MA,1571,WORCESTER,SG,Yes
STOP & SHOP 62,99,CHARLES STREET,99 CHARLES STREET,MALDEN,MA,2148,MIDDLESEX,SM,Yes
CONFAMA #1 SUPERMARKET,99,CHELSEA,99 CHELSEA,E.BOSTON,MA,2128,SUFFOLK,CS,Yes
MARTINEZ GROCERY,99,PARK ST,99 PARK ST,LAWRENCE,MA,1841,ESSEX,CS,Yes
IZZYS CORNER VARIETY,100,HAMMOND ST,100 HAMMOND ST,ROXBURY,MA,2119,SUFFOLK,CS,Yes
Los Peluche,100,Union St,100 Union St,LYNN,MA,1902,ESSEX,SG,Yes
Cedar Street Market,100,E Main St,100 E Main St,Milford,MA,1757,WORCESTER,CO,Yes
STOP & SHOP 460,100,POWDER MILL RD,100 POWDER MILL RD,ACTON,MA,1720,MIDDLESEX,SM,Yes
SHAW'S SUPERMARKET 7632/168,100,N MAIN ST,100 N MAIN ST,CARVER,MA,2330,PLYMOUTH,SS,Yes
SAVE-A-LOT LTD 804,100,GRIFFIN STREET,100 GRIFFIN STREET,FALL RIVER,MA,2724,BRISTOL,SM,Yes
BIG Y STORE 43,100,MAYFIELD STREET,100 MAYFIELD STREET,WORCESTER,MA,1604,WORCESTER,SS,Yes
SUPER STOP & SHOP 481,100,CHARLTON ROAD,100 CHARLTON ROAD,STURBRIDGE,MA,1566,WORCESTER,SM,Yes
SUPER STOP & SHOP 057,100,WORCESTER STREET RT 122,100 WORCESTER STREET RT 122,GRAFTON,MA,1519,WORCESTER,SM,Yes
STOP & SHOP SUPERCENTER 499,100,MACY ST,100 MACY ST,AMESBURY,MA,1913,ESSEX,SM,Yes
7-ELEVEN #32491A,100,LYNN ST,100 LYNN ST,PEABODY,MA,1960,ESSEX,CS,Yes
KOSTA'S PIZZAS MARKET,100,CANTERBURY ST,100 CANTERBURY ST,WORCESTER,MA,1603,WORCESTER,SG,Yes
WALMART SUPERCENTER 2629,100,VALLEY PARKWAY,100 VALLEY PARKWAY,WHITINSVILLE,MA,1588,WORCESTER,SM,Yes
WALMART 2797,100,CHARLTON RD,100 CHARLTON RD,STURBRIDGE,MA,1566,WORCESTER,SM,Yes
SUNNYS CONVENIENCE LLC,100,LAWTON AV,100 LAWTON AV,TAUNTON,MA,2780,BRISTOL,CS,Yes
BROOKS PHARMACY 542,100,"DERBY ST, SUITE 505","100 DERBY ST, SUITE 505",HINGHAM,MA,2043,NORFOLK,CO,Yes
USA Fruit Market,101,Park Street,101 Park Street,Attleboro,MA,2703,BRISTOL,SG,Yes
TARGET 1266,101,COMMERCE WAY,101 COMMERCE WAY,WOBURN,MA,1801,MIDDLESEX,SS,Yes
D&D Convenience Store,101,Magazine St,101 Magazine St,Cambridge,MA,2139,MIDDLESEX,CS,Yes
J & E Tower Hill Variety,101,Ames St,101 Ames St,Lawrence,MA,1841,ESSEX,CS,Yes
Target 1495,101,Independence Mall Way,101 Independence Mall Way,Kingston,MA,2364,PLYMOUTH,SS,Yes
Leourys Market,101,Union St,101 Union St,Lawrence,MA,1841,ESSEX,SG,Yes
ROCHE BROS SUPERMARKET 113,101,FALLS BOULEVARD,101 FALLS BOULEVARD,QUINCY,MA,2169,NORFOLK,SS,Yes
SUPER 88 L.L.C.,101,ALLSTATE ROAD,101 ALLSTATE ROAD,DORCHESTER,MA,2125,SUFFOLK,SS,Yes
LOS HERMANOS MINI MARKET,101,CENTRAL STREET,101 CENTRAL STREET,SOUTHBRIDGE,MA,1550,WORCESTER,CS,Yes
HONEY FARM 87,101,HIGHLAND STREET,101 HIGHLAND STREET,WORCESTER,MA,1609,WORCESTER,CS,Yes
Karla's Market,102,Shirley Ave,102 Shirley Ave,Revere,MA,2151,MIDDLESEX,SG,Yes
University Convenience,102,University Ave,102 University Ave,Lowell,MA,1854,MIDDLESEX,CS,Yes
CVS PHARMACY 1899,102,BOSTON ST,102 BOSTON ST,LYNN,MA,1904,ESSEX,CO,Yes
CASA NOVA MARKET,102,CENTRAL STREET,102 CENTRAL STREET,MILFORD,MA,1757,WORCESTER,SG,Yes
HAPPY SUPERETTE,102,COLUMBIA ST,102 COLUMBIA ST,CAMBRIDGE,MA,2139,MIDDLESEX,SG,Yes
SAN MIGUEL GROCERY,103,CANTERBURY ST,103 CANTERBURY ST,WORCESTER,MA,1603,WORCESTER,SG,Yes
TARGET 1930,103,TAUNTON ST,103 TAUNTON ST,PLAINVILLE,MA,2762,BRISTOL,SS,Yes
7-ELEVEN 33519B,103,STATE ST,103 STATE ST,BOSTON,MA,2109,SUFFOLK,CS,Yes
FAMILY PRODUCE MARKET,103,N ELM ST,103 N ELM ST,WESTFIELD,MA,1085,HAMPDEN,MG,Yes
TEDESCHIS 453,103,ROGERS ST,103 ROGERS ST,LOWELL,MA,1852,MIDDLESEX,CS,Yes
EYS Mini Market,103,Cedar St,103 Cedar St,Haverhill,MA,1830,ESSEX,SG,Yes
DAN'S CONVENIENT MART,103,HANCOCK STREET,103 HANCOCK STREET,EVERETT,MA,2149,MIDDLESEX,SG,Yes
CVS PHARMACY 2172,103,"WORCESTER ST,COUNTRY PLZ","103 WORCESTER ST,COUNTRY PLZ",GRAFTON,MA,1536,WORCESTER,CO,Yes
YOUR NEIGHBORHOOD MARKET,103,SCHOOL STREET,103 SCHOOL STREET,SALEM,MA,1970,ESSEX,MG,Yes
CASA VICTORIA,104,COUNTY ST,104 COUNTY ST,NEW BEDFORD,MA,2744,BRISTOL,MG,Yes
V  MINI MARKET & CONVENIENCE,104,CHANDLER STREET,104 CHANDLER STREET,WORCESTER,MA,1609,WORCESTER,SG,Yes
J & D MARKET,104,MECHANIC STREET,104 MECHANIC STREET,LEOMINSTER,MA,1453,WORCESTER,SG,Yes
TEDESCHI FOOD SHOPS 52,104,BELMONT STREET,104 BELMONT STREET,WORCESTER,MA,1605,WORCESTER,CS,Yes
CONVENIENCE STATION,105,WHITE ST,105 WHITE ST,HAVERHILL,MA,1830,ESSEX,CS,Yes
Papas Bakery,105,Chelsea Street,105 Chelsea Street,E Boston,MA,2128,SUFFOLK,SG,Yes
FOODMASTER SUPERMARLET #4 04,105,ALEWIFE BROOK PARKWAY,105 ALEWIFE BROOK PARKWAY,SOMERVILLE,MA,2144,MIDDLESEX,SS,Yes
GUIMOND FARMS,105,RHODE ISLAND AVENUE,105 RHODE ISLAND AVENUE,FALL RIVER,MA,2724,BRISTOL,CO,Yes
TEDESCHI FOOD SHOP 200,105,TROWBRIDGE ROAD,105 TROWBRIDGE ROAD,NORTH BOURNE,MA,2532,BARNSTABLE,MG,Yes
L&L CONVENIENCE STORE,105,MAIN ST,105 MAIN ST,MALDEN,MA,2148,MIDDLESEX,SG,Yes
Hilltop Butcher Shop,106,Main St,106 Main St,Weymouth,MA,2188,NORFOLK,SS,Yes
ATHENS CANDY STORE,106,OAK GROVE,106 OAK GROVE,SPRINGFIELD,MA,1109,HAMPDEN,MG,Yes
CVS PHARMACY 2680,106,BOSTON RD,106 BOSTON RD,GROTON,MA,1450,MIDDLESEX,CO,Yes
L. LAWRENCE STORE,107,S UNION ST,107 S UNION ST,LAWRENCE,MA,1843,ESSEX,CS,Yes
Martinez Market,107,Ames St,107 Ames St,Brockton,MA,2301,PLYMOUTH,SG,Yes
WALGREENS 4535,107,NORTH MAIN STREET,107 NORTH MAIN STREET,RANDOLPH,MA,2368,NORFOLK,CO,Yes
Washington Street Market,107,Washington St,107 Washington St,Lynn,MA,1902,ESSEX,CS,Yes
VILLAGE KNOLL VARIETY,107,WEST MAIN STREET,107 WEST MAIN STREET,MILLBURY,MA,1527,WORCESTER,CS,Yes
Western Avenue Market,108,Western Ave,108 Western Ave,Lynn,MA,1904,ESSEX,CS,Yes
"RANDNELL PACKAGE STORE INC.,",108,CANTERBURY STREET,108 CANTERBURY STREET,WORCESTER,MA,1603,WORCESTER,CS,Yes
LYNN CONVENIENCE STORE,109,WESTERN AVE,109 WESTERN AVE,LYNN,MA,1902,ESSEX,CS,Yes
STOP & SHOP SUPERMARKET 462,109,TAUNTON ST,109 TAUNTON ST,PLAINVILLE,MA,2762,NORFOLK,SM,Yes
New Grocery Market,109,Shirley Ave,109 Shirley Ave,Revere,MA,2151,SUFFOLK,SG,Yes
VINCENTS COUNTRY STORE,109,MAIN STREET BOX 413,109 MAIN STREET BOX 413,WESTMINSTER,MA,1473,WORCESTER,LG,Yes
NEW MARKET,109,BRIDGE STREET,109 BRIDGE STREET,SALEM,MA,1970,ESSEX,CS,Yes
CUMBERLAND FARMS 6706,109,BROOKSIDE ROAD,109 BROOKSIDE ROAD,ATHOL,MA,1331,WORCESTER,CS,Yes
CRONIG'S STATE ROAD MARKET,109,STATE ROAD,109 STATE ROAD,VINEYARD HAVEN,MA,2568,DUKES,SS,Yes
C-MART SUPERMARKET II,109,LINCOLN ST,109 LINCOLN ST,BOSTON,MA,2111,SUFFOLK,SM,Yes
ME$ALVE MINI MART,110,FERRY ST,110 FERRY ST,EVERETT,MA,2149,MIDDLESEX,CS,Yes
White Hen Pantry 1-0601-1,110,Newbury St,110 Newbury St,Danvers,MA,1923,ESSEX,CS,Yes
CORNER MARKET,110,RIVER ST,110 RIVER ST,NORTH ADAMS,MA,1247,BERKSHIRE,CS,Yes
SAVIN HILL VARIETY,110,SAVIN HILL AVE.,110 SAVIN HILL AVE.,DORCHESTER,MA,2125,SUFFOLK,CS,Yes
CVS PHARMACY 127,110,FRONT STREET,110 FRONT STREET,WORCESTER,MA,1608,WORCESTER,CO,Yes
7-ELEVEN #32431B,110,N. MAIN ST,110 N. MAIN ST,ATTLEBORO,MA,2703,BRISTOL,CO,Yes
CASH'N CARRY 3038,110,AVOCADO ST,110 AVOCADO ST,SPRINGFIELD,MA,1104,HAMPDEN,SM,Yes
HONEY FARM 23,110,LINCOLN STREET,110 LINCOLN STREET,WORCESTER,MA,1605,WORCESTER,MG,Yes
KOMPHONGCHNANG NEW BROADWAY MKT,111,SOUTH BROADWAY,111 SOUTH BROADWAY,LAWRENCE,MA,1843,ESSEX,MG,Yes
REYMIRA'S MARKET,111,LAFAYETTE ST,111 LAFAYETTE ST,SALEM,MA,1970,ESSEX,SG,Yes
LATINA MARKET,111,WHITE ST,111 WHITE ST,HAVERHILL,MA,1830,ESSEX,SG,Yes
STORE 24 19,111,ARSENAL STREET,111 ARSENAL STREET,WATERTOWN,MA,2472,MIDDLESEX,CS,Yes
ADAM'S IGA SUPERMARKET,111,MAIN STREET,111 MAIN STREET,MONSON,MA,1057,HAMPDEN,SS,Yes
Chrissies Variety,112,Main St,112 Main St,Everett,MA,2149,MIDDLESEX,CS,Yes
GREAT BROOK VALLEY MKT,112,TACOMA ST,112 TACOMA ST,WORCESTER,MA,1605,WORCESTER,SG,Yes
TWINS VARIETY,112,DUCHARME AV,112 DUCHARME AV,CHICOPEE,MA,1013,HAMPDEN,SG,Yes
AV'S MARKET,113,BEAVER STREET,113 BEAVER STREET,FRAMINGHAM,MA,1702,MIDDLESEX,CS,Yes
BELL ROCK MARKET,114,MAIN ST,114 MAIN ST,MALDEN,MA,2148,MIDDLESEX,CS,Yes
P & D MINI MARKET,114,TALLMAN ST,114 TALLMAN ST,NEW BEDFORD,MA,2746,BRISTOL,CS,Yes
Vecinos Meat Market,114,Union St,114 Union St,Lynn,MA,1902,ESSEX,MG,Yes
BROOKS PHARMACY 886,114,CENTRAL ST,114 CENTRAL ST,IPSWICH,MA,1938,ESSEX,CO,Yes
NEW FAITH CONVENIENCE,115,CHESTNUT ST,115 CHESTNUT ST,SPRINGFIELD,MA,1103,HAMPDEN,CS,Yes
ABS Gas & Go,115,Lunenburg St,115 Lunenburg St,Fitchburg,MA,1420,WORCESTER,CO,Yes
WHOLE FOODS MARKET 10010,115,PROSPECT STREET,115 PROSPECT STREET,CAMBRIDGE,MA,2139,MIDDLESEX,SS,Yes
LUZO MAXI MARKET,115,CHURCH STREET,115 CHURCH STREET,NEW BEDFORD,MA,2746,BRISTOL,CO,Yes
7-ELEVEN #32429A,115,BROADWAY,115 BROADWAY,CHELSEA,MA,2150,SUFFOLK,CS,Yes
STORE 24 #034,115,MAIN STREET,115 MAIN STREET,PEABODY,MA,1960,ESSEX,CS,Yes
CVS PHARMACY #209 CVSP,115,MAIN ST,115 MAIN ST,NORTH ANDOVER,MA,1845,ESSEX,CO,Yes
CVS PHARMACY #299 0299,115,GOLDSTAR BLVD,115 GOLDSTAR BLVD,WORCESTER,MA,1606,WORCESTER,CO,Yes
CONVENIENCE PLUS #4,115,DALTON AVENUE,115 DALTON AVENUE,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
CASABLANCA MEAT & FISH MARKET,116,BLACKSTONE ST,116 BLACKSTONE ST,BOSTON,MA,2109,SUFFOLK,SG,Yes
J&W Market Company Inc,116,Broad St,116 Broad St,Lynn,MA,1902,ESSEX,SG,Yes
TOWN VARIETY,116,CENTRAL ST,116 CENTRAL ST,PEABODY,MA,1960,ESSEX,CS,Yes
XTRA MART/WORCESTER STREET 7140,116,WORCESTER ST/MECHANCIC ST,116 WORCESTER ST/MECHANCIC ST,SOUTHBRIDGE,MA,1550,WORCESTER,CS,Yes
PRICE RITE OF WORCESTER,117,GOLD STAR BLVD,117 GOLD STAR BLVD,WORCESTER,MA,1606,WORCESTER,SS,Yes
EAGLE MARKET,117,LOVELL ST,117 LOVELL ST,WORCESTER,MA,1603,WORCESTER,CS,Yes
"HAVERHILL BEEF CO.,",117,MERRIMACK STREET,117 MERRIMACK STREET,HAVERHILL,MA,1830,ESSEX,MG,Yes
"JIMENEZ SUPERMARKET, INC.",117,NEWBURY ST,117 NEWBURY ST,LAWRENCE,MA,1841,ESSEX,MG,Yes
XTRA MART NEW BEDFORD 7185,117,DURFEE STREET,117 DURFEE STREET,NEW BEDFORD,MA,2740,BRISTOL,CS,Yes
EDGEMARY USA MINIMART,118,CAMBRIDGE ST,118 CAMBRIDGE ST,WORCESTER,MA,1603,WORCESTER,CS,Yes
Toms Deli,118,Water St,118 Water St,Worcester,MA,1604,WORCESTER,MG,Yes
PRICE CHOPPER 153,118,EAST MAIN ST,118 EAST MAIN ST,WEBSTER,MA,1570,WORCESTER,SM,Yes
"ADA'S TROPICAL INC.,",118,NORFOLK STREET,118 NORFOLK STREET,DORCHESTER,MA,2124,SUFFOLK,MG,Yes
HANNAFORD SUPERMARKET,118,LANCASTER ST,118 LANCASTER ST,LEOMINSTER,MA,1453,WORCESTER,SS,Yes
ADAMES GROCERY STORE,119,JACKSON ST,119 JACKSON ST,LAWRENCE,MA,1841,ESSEX,CS,Yes
CITGO Food Mart,119,Boston Rd,119 Boston Rd,Springfield,MA,1109,HAMPDEN,CO,Yes
DJ's Market,120,Boston ST,120 Boston ST,Dorchester,MA,2125,SUFFOLK,CS,Yes
White Hen Pantry 1-7304-4,120,Byron St,120 Byron St,E Boston,MA,2128,SUFFOLK,CS,Yes
Battambang Market,120,Shirley Ave,120 Shirley Ave,Revere,MA,2151,SUFFOLK,SG,Yes
ROSELY GROCERY STORE,120,WASHINGTON ST,120 WASHINGTON ST,DORCHESTER,MA,2121,SUFFOLK,CS,Yes
"CVS Pharmacy, Inc. 4471",121,Spring St,121 Spring St,Springfield,MA,1105,HAMPDEN,CS,Yes
Zar Mart,121,N Elm St,121 N Elm St,Westfield,MA,1085,HAMPDEN,CS,Yes
Eastern Market,121,Eastern Ave,121 Eastern Ave,Lynn,MA,1902,ESSEX,CS,Yes
Spring Street Super Grocery Varie,121,Spring St,121 Spring St,Springfield,MA,1105,HAMPDEN,LG,Yes
SHAW'S SUPERMARKET 7416/118,121,MEMORIAL DR,121 MEMORIAL DR,RANDOLPH,MA,2368,NORFOLK,SS,Yes
WALMART 2902,121,WORCESTER RD.,121 WORCESTER RD.,FRAMINGHAM,MA,1701,MIDDLESEX,SM,Yes
WHITE HEN PANTRY #1-9401-7 194017,121,JUNE ST,121 JUNE ST,WORCESTER,MA,1602,WORCESTER,SG,Yes
BROOKS PHARMACY 773,121,MARION RD,121 MARION RD,WAREHAM,MA,2571,PLYMOUTH,CO,Yes
Happy Superette,122,Seaver Street,122 Seaver Street,Dorchester,MA,2121,SUFFOLK,CS,Yes
DOLLAR TREE 1582,122,MEDWAY RD,122 MEDWAY RD,MILFORD,MA,1757,WORCESTER,CO,Yes
CROSBY'S MARKETPLACE,122,WASHINGTON STREET,122 WASHINGTON STREET,MARBEHEAD,MA,1945,ESSEX,SS,Yes
